,name,iter,A,BA,ROC,MCC,F1,R,P
sage-1,SAGE,1,0.7067209775967414,0.7203714160235899,0.7203714160235899,0.3322084361111233,0.6214827187459848,0.7203714160235899,0.6252004990197826
sage-2,SAGE,2,0.7311608961303462,0.6756994166003712,0.6756994166003714,0.2719490834069384,0.6108602718670445,0.6756994166003712,0.6052312884653563
sage-3,SAGE,3,0.7169042769857433,0.7496291351431539,0.7496291351431538,0.3481815996135071,0.6156653170174066,0.7496291351431539,0.6214105339105339
sage-4,SAGE,4,0.714867617107943,0.6825846555395287,0.6825846555395287,0.2712110867963657,0.6001442598538788,0.6825846555395287,0.6007141774645752
sage-5,SAGE,5,0.7881873727087576,0.7087087912087913,0.7087087912087913,0.3785092346281143,0.6850234394275845,0.7087087912087913,0.6716138068130478
sage-6,SAGE,6,0.7596741344195519,0.7096592415804825,0.7096592415804827,0.3299820907797545,0.6426227485812979,0.7096592415804825,0.6298394711992445
sage-7,SAGE,7,0.7494908350305499,0.7174540266328472,0.7174540266328472,0.342154382387736,0.6454249229414355,0.7174540266328472,0.6345912319949762
sage-8,SAGE,8,0.6639511201629328,0.6799006323396568,0.6799006323396568,0.2722266996580374,0.5869468789672525,0.6799006323396568,0.6029837625400766
sage-9,SAGE,9,0.7189409368635438,0.6314150881562561,0.6314150881562561,0.2075611486697314,0.5849179122764028,0.6314150881562561,0.5819571615434924
sage-10,SAGE,10,0.7107942973523421,0.6802149872930833,0.6802149872930833,0.2668282231047609,0.5968894542090656,0.6802149872930833,0.5987671748541313
sage-11,SAGE,11,0.7759674134419552,0.7019523998939273,0.7019523998939273,0.3288579908216502,0.6494132003946617,0.7019523998939273,0.6338775599894524
sage-12,SAGE,12,0.7393075356415478,0.6506573859242073,0.6506573859242072,0.2225873575166286,0.5856540084388185,0.6506573859242073,0.5822149067274416
sage-13,SAGE,13,0.6843177189409368,0.6856703747072599,0.6856703747072599,0.2597602667184455,0.5761985109451656,0.6856703747072599,0.5908537458816788
sage-14,SAGE,14,0.7759674134419552,0.6750936329588015,0.6750936329588015,0.3204964753287785,0.6572099517644072,0.6750936329588015,0.6466615161305427
sage-15,SAGE,15,0.7046843177189409,0.7096240495635032,0.7096240495635031,0.3008757435746323,0.6013293687458352,0.7096240495635032,0.6079625802240836
sage-16,SAGE,16,0.7942973523421588,0.7192568713946386,0.7192568713946387,0.3598690889587911,0.6664245114855547,0.7192568713946386,0.6476644270761918
sage-17,SAGE,17,0.6639511201629328,0.6765778308141077,0.6765778308141076,0.2557717919672545,0.5736164837767427,0.6765778308141077,0.5926209270786243
sage-18,SAGE,18,0.7718940936863544,0.7028139637002342,0.7028139637002342,0.3126799747102194,0.6345560871876661,0.7028139637002342,0.620515329419439
sage-19,SAGE,19,0.7841140529531568,0.7042779213321849,0.7042779213321849,0.361368742974246,0.6744194775297767,0.7042779213321849,0.6598158131176999
sage-20,SAGE,20,0.7107942973523421,0.6510796836982968,0.6510796836982968,0.2413683513015665,0.5992988505747127,0.6510796836982968,0.5964038969104176
sage-21,SAGE,21,0.769857433808554,0.6908089270627993,0.6908089270627993,0.3015123739148924,0.6327599102468212,0.6908089270627993,0.6191109255515513
sage-22,SAGE,22,0.7515274949083504,0.7296978436127679,0.7296978436127679,0.3541673749521185,0.647203637391632,0.7296978436127679,0.6365212310089599
sage-23,SAGE,23,0.7067209775967414,0.633280561246663,0.633280561246663,0.2123445984378733,0.5861778339654445,0.633280561246663,0.5845776534552045
sage-24,SAGE,24,0.8268839103869654,0.6718349335082593,0.6718349335082593,0.3563138780892304,0.6777842115421733,0.6718349335082593,0.6847115384615384
sage-25,SAGE,25,0.7535641547861507,0.7091154090044388,0.7091154090044388,0.3329578320745404,0.6444520248717811,0.7091154090044388,0.6325355678803954
sage-26,SAGE,26,0.7433808553971487,0.6514972527472527,0.6514972527472528,0.2688641467678659,0.6285484413276334,0.6514972527472527,0.6192891753915376
sage-27,SAGE,27,0.7515274949083504,0.6922324986841115,0.6922324986841115,0.2853630031384948,0.6141130694702123,0.6922324986841115,0.6059030654515327
sage-28,SAGE,28,0.7331975560081466,0.7114573923517014,0.7114573923517012,0.3348985888112264,0.6398217055565822,0.7114573923517014,0.6326000755287009
sage-29,SAGE,29,0.8004073319755601,0.6679556924690306,0.6679556924690306,0.3025275280911265,0.6481367731367732,0.6679556924690306,0.6362307283359915
sage-30,SAGE,30,0.7515274949083504,0.6683714865256447,0.6683714865256446,0.289482211076177,0.635526187694704,0.6683714865256447,0.6244271703284937
